IE_SORT;IE_NAME;IE_DETAIL_PICTURE;IE_DETAIL_PICTURE;IP_PROP5;IP_PROP16;IP_PROP11;IP_PROP14;IP_PROP15;CP_WEIGHT;CP_WIDTH;CP_LENGTH;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
507;L-MAXIMA brown 2 Цветы (10,5*44,8);/images/bathroom/tubadzin/l-maxima_brown_2_448x105.jpg;L-Maxima brown 2 448x105;2014;2014;Бордюр;68209999;24;718;105;448;4,9;EUR
508;P-MAXIMA white;/images/bathroom/tubadzin/p-maxima_white_450x450.jpg;P-Maxima white 450x450;2014;2014;Напольная плитка;68849533;1,62;18950;450;450;14,8;EUR
509;P-MAXIMA brown;/images/bathroom/tubadzin/p-maxima_brown_450x450.jpg;P-Maxima brown 450x450;2014;2014;Напольная плитка;68209941;1,62;18950;450;450;14,8;EUR
500;MINIMAL szara;/images/bathroom/tubadzin/s-minimal_szara.jpg;S-Minimal szara;2015;2015;Облицовочная плитка;68389003;1,5;14330;223;448;14,2;EUR
501;MINIMAL szara STR;/images/bathroom/tubadzin/s-minimal_szara_str.jpg;S-Minimal szara STR;2015;2015;Облицовочная плитка;68389033;1,2;16863;223;448;15,8;EUR
502;MINIMAL grafit;/images/bathroom/tubadzin/s-minimal_grafit.jpg;S-Minimal grafit;2015;2015;Облицовочная плитка;68389051;1,5;14330;223;448;14,2;EUR
503;L-MINIMAL szara (11,1*44,8);/images/bathroom/tubadzin/l-minimal_szara_448x111.jpg;l-Minimal szara 448x111;2015;2015;Бордюр;68389060;10;740;111;448;3,7;EUR
504;L-MINIMAL wood (5,4*44,8);/images/bathroom/tubadzin/l-minimal_wood_54x448.jpg;L-Minimal wood 54x448;2015;2015;Бордюр;70197910;10;370;54;448;3,7;EUR
505;MS-MINIMAL szara (29,8*29,8);/images/bathroom/tubadzin/msp-minimal_szra_298x298.jpg;MSP-Minimal szra 298x298;2015;2015;Мозаика;68799171;11;988;298;298;6,3;EUR
506;MS-MINIMAL wood (29,8*29,8);/images/bathroom/tubadzin/msp-minimal_wood_298x298.jpg;MSP-Minimal wood 298x298;2015;2015;Мозаика;68799172;11;988;298;298;6,3;EUR
507;P-MINIMAL szara;/images/bathroom/tubadzin/p-minimal_szara_450x450.jpg;P-Minimal szara 450x450;2015;2015;Напольная плитка;68650622;1,62;18950;450;450;15,3;EUR
508;P-MINIMAL grafit;/images/bathroom/tubadzin/p-minimal_grafit_450x450.jpg;P-Minimal grafit 450x450;2015;2015;Напольная плитка;68389288;1,62;18950;450;450;15,3;EUR
500;ONIS;/images/bathroom/tubadzin/ps-onis.jpg;PS-Onis;2016;2016;Облицовочная плитка;68780545;1,07;16800;298;598;23,35;EUR
501;ONIS Structura;/images/bathroom/tubadzin/ps-onis-str.jpg;PS-Onis-STR;2016;2016;Облицовочная плитка;68780546;1,07;16444;298;598;24,25;EUR
502;D-ONIS;/images/bathroom/tubadzin/ds-onis.jpg;DS-Onis;2016;2016;Декор;68780146;6;3133;298;598;11,27;EUR
503;MS-ONIS (29,8*29,8);/images/bathroom/tubadzin/ms-onis.jpg;MS-Onis;2016;2016;Мозаика;68780717;9;1322;298;298;6,3;EUR
504;L-ONIS (9,8*59,8);/images/bathroom/tubadzin/ls-onis.jpg;LS-Onis;2016;2016;Бордюр;68780060;9;1462;98;598;4,95;EUR
505;P-ONIS;/images/bathroom/tubadzin/pp-onis-598x598.jpg;PP-Onis-598x598;2016;2016;Напольная плитка;68780720;1,43;25890;598;598;28,6;EUR
500;SYRIA bez;/images/bathroom/tubadzin/s-syria_bez.jpg;s-syria bez;2018;2018;Облицовочная плитка;67993705;1,35;13756;250;360;11;EUR
501;SYRIA braz;/images/bathroom/tubadzin/s-syria_braz.jpg;s-syria braz;2018;2018;Облицовочная плитка;68209502;1,35;13756;250;360;11;EUR
